#{"t_start": 1642372656.5629053, "env_id": null}
r,l,t
0.377718,12,4.378152
0.227717,12,4.404502
0.766162,12,4.423537
0.390892,12,4.442997
0.423685,12,4.463783
0.481594,12,4.482901
0.560485,12,4.504364
0.213342,12,4.526047
0.696591,12,4.54324
0.716784,12,4.572618
0.394042,12,4.6096
0.384663,12,4.634032
0.388463,12,4.654568
0.508732,12,4.67262
0.216325,12,4.699119
0.496601,12,4.73291
0.826882,12,4.766269
0.125001,12,4.784194
0.623273,12,4.803155
0.66642,12,4.828205
0.291931,12,4.845541
0.328138,12,4.863769
0.289977,12,4.893823
0.100756,12,4.91608
0.335183,12,4.943605
0.618504,12,4.965426
0.474391,12,4.988833
0.399179,12,5.010767
0.284486,12,5.032099
0.238675,12,5.056674
0.367953,12,5.079489
0.179633,12,5.103489
0.206196,12,5.128061
0.747065,12,5.152428
0.810205,12,5.175533
0.694994,12,5.197712
0.611257,12,5.217978
0.481238,12,5.243844
0.760557,12,5.266244
0.644358,12,5.287264
0.293249,12,5.306599
0.660181,12,5.333804
0.422092,12,5.354958
0.394148,12,5.383139
0.093381,12,5.408863
0.573798,12,5.435696
0.663215,12,5.457375
0.42415,12,5.473536
0.212218,12,5.490524
0.629108,12,5.509372
0.796361,12,5.527961
0.487167,12,5.544744
0.402051,12,5.561741
0.641819,12,5.582926
0.509086,12,5.613147
0.337373,12,5.640935
0.649174,12,5.662654
0.451212,12,5.683997
0.756472,12,5.702279
0.227898,12,5.718353
0.329643,12,5.736628
0.355383,12,5.755971
0.233923,12,5.777856
0.296358,12,5.794863
0.73643,12,5.812137
0.335778,12,5.831314
0.458943,12,5.856513
0.792225,12,5.873508
0.167799,12,5.892201
0.510912,12,5.913249
0.192347,12,5.930902
0.443908,12,5.961915
0.573818,12,5.988613
0.595773,12,6.026848
0.21775,12,6.056139
0.127718,12,6.092946
0.271649,12,6.119116
0.261937,12,6.136227
0.337774,12,6.154715
0.270901,12,6.174156
0.272431,12,6.190852
0.162281,12,6.207852
0.888847,12,6.225271
0.162722,12,6.25433
0.493382,12,6.2728
0.276889,12,6.292992
0.359381,12,6.324818
0.24014,12,6.344609
0.846729,12,6.365634
0.40846,12,6.39621
0.244925,12,6.415066
0.623921,12,6.435427
0.619862,12,6.457119
0.659973,12,6.49108
0.28835,12,6.525534
0.113898,12,6.554695
0.228744,12,6.588977
0.670077,12,6.616448
0.700831,12,6.638768
0.439297,12,6.66477
0.254296,12,6.685222
0.178923,12,6.702181
0.287541,12,6.718603
0.515743,12,6.740734
0.410377,12,6.764364
0.346459,12,6.789514
0.49071,12,6.806574
0.400912,12,6.824796
0.187971,12,6.84304
0.263022,12,6.86006
0.643902,12,6.877621
0.397644,12,6.904289
0.840795,12,6.922753
0.401363,12,6.943583
0.290491,12,6.962562
0.317711,12,6.979386
0.236129,12,6.999614
0.325658,12,7.022917
0.272904,12,7.041743
0.485281,12,7.060451
0.841533,12,7.078057
0.371268,12,7.097099
0.211983,12,7.115573
0.480989,12,7.138593
0.345655,12,7.164963
0.717329,12,7.180852
0.811676,12,7.199374
0.158079,12,7.219623
0.28227,12,7.241613
0.763894,12,7.259989
0.281318,12,7.276991
0.71478,12,7.295988
0.065864,12,7.314023
0.288956,12,7.33375
0.615703,12,7.352611
0.711884,12,7.380628
0.499422,12,7.410283
0.552526,12,7.428839
0.474174,12,7.446697
0.228202,12,7.46357
0.279059,12,7.483597
0.494093,12,7.505932
0.456662,12,7.54172
0.280639,12,7.581637
0.390456,12,7.618572
0.291828,12,7.637326
0.577641,12,7.65517
0.387734,12,7.682069
0.458907,12,7.703584
0.427619,12,7.725798
0.866402,12,7.767527
0.566965,12,7.796942
0.455284,12,7.814923
0.616417,12,7.833672
0.451058,12,7.85154
0.606175,12,7.868258
0.281084,12,7.894767
0.491615,12,7.916812
0.47278,12,7.943055
0.510207,12,7.964864
0.518245,12,7.992178
0.859413,12,8.01501
0.376688,12,8.034117
0.184224,12,8.050364
0.96078,12,8.069372
0.049087,12,8.088559
0.047731,12,8.110398
0.498748,12,8.128276
0.097582,12,8.145799
0.557849,12,8.163779
0.638677,12,9.036122
0.544328,12,9.051281
0.523626,12,9.072395
0.434769,12,9.088505
0.260098,12,9.105287
0.422942,12,9.1251
0.153811,12,9.143306
0.630851,12,9.160703
0.286102,12,9.180151
0.386235,12,9.199591
0.679544,12,9.21907
0.683942,12,9.238876
0.362451,12,9.257882
0.531727,12,9.285164
0.46746,12,9.307175
0.484288,12,9.32546
0.518231,12,9.349941
0.641709,12,9.370487
0.35758,12,9.394802
0.723639,12,9.412155
0.288065,12,9.427887
0.294385,12,9.447203
0.618438,12,9.465151
0.121127,12,9.496456
0.337734,12,9.530662
0.879244,12,9.54665
0.228648,12,9.565006
0.509215,12,9.586984
0.37029,12,9.603975
0.383975,12,9.621234
0.250531,12,9.644972
0.252125,12,9.667349
0.198335,12,9.685168
0.330299,12,9.703279
0.176373,12,9.719949
0.605895,12,9.738164
0.237066,12,9.757687
0.33701,12,9.78122
0.684137,12,9.799606
0.374,12,9.818358
0.356073,12,9.836367
0.090638,12,9.861737
0.127411,12,9.884504
0.222518,12,9.901785
0.070371,12,9.9178
