#{"t_start": 1642403457.640125, "env_id": null}
r,l,t
0.659772,4,4.582494
0.657215,4,4.595168
0.777333,4,4.607168
0.425542,4,4.619168
0.901028,4,4.633548
0.485105,4,4.645521
0.762761,4,4.657046
0.522992,4,4.665353
0.709535,4,4.677102
0.651305,4,4.687609
0.669985,4,4.697609
0.642599,4,4.70893
0.926539,4,4.720952
0.534622,4,4.7321
0.815192,4,4.742126
0.616325,4,4.756083
0.809835,4,4.767498
0.971079,4,4.779121
0.540963,4,4.789121
0.402155,4,4.802348
0.157015,4,4.817215
0.727424,4,4.829853
0.492454,4,4.842138
0.984425,4,4.855447
0.730603,4,4.869801
0.877184,4,4.8824
0.709378,4,4.897882
0.432588,4,4.911538
0.907369,4,4.924775
0.364394,4,4.941491
0.839997,4,4.956186
0.355729,4,4.971242
0.573737,4,4.984
0.961875,4,4.998356
0.457307,4,5.014793
0.900611,4,5.026503
0.395534,4,5.038552
0.645411,4,5.050132
0.460234,4,5.06109
0.615427,4,5.073134
0.978142,4,5.087447
0.824351,4,5.100665
0.81607,4,5.112717
0.946565,4,5.122803
0.350204,4,5.134833
0.294474,4,5.144849
0.430608,4,5.154106
0.844612,4,5.166825
0.806138,4,5.179803
0.950466,4,5.191368
0.691223,4,5.204333
0.941136,4,5.217287
0.039251,4,5.230285
0.986352,4,5.242278
0.624624,4,5.255279
0.523447,4,5.267909
0.543918,4,5.280509
0.941335,4,5.293758
0.905471,4,5.304753
0.74731,4,5.317754
0.676127,4,5.329263
0.704665,4,5.340971
0.93651,4,5.353812
0.648259,4,5.367485
0.928218,4,5.381202
0.731774,4,5.393373
0.604658,4,5.405188
0.941939,4,5.41829
0.16962,4,5.434139
0.457343,4,5.446509
0.669492,4,5.46029
0.515289,4,5.474787
0.585688,4,5.489201
0.855675,4,5.501004
0.609404,4,5.513248
0.616479,4,5.524168
0.787792,4,5.535695
0.976624,4,5.550212
0.919919,4,5.562635
0.670163,4,5.572237
0.72227,4,5.582124
0.403316,4,5.592807
0.495883,4,5.604696
0.951752,4,5.618658
0.805725,4,5.63008
0.987037,4,5.640125
0.93003,4,5.65303
0.354976,4,5.664522
0.831581,4,5.675535
0.766855,4,5.690257
0.723134,4,5.70503
0.109388,4,5.719648
0.418919,4,5.734997
0.73992,4,5.751219
0.431928,4,5.764594
0.305101,4,5.779108
0.388739,4,5.795195
0.81181,4,5.807916
0.861856,4,5.818481
0.565507,4,5.829628
0.924152,4,5.840962
0.77035,4,5.853891
0.850671,4,5.867094
0.972582,4,5.879156
0.248319,4,5.892196
0.556862,4,5.904942
0.133627,4,5.924259
0.622898,4,5.944827
0.659559,4,5.957825
0.934768,4,5.973251
0.345089,4,5.990294
0.567556,4,6.006525
