#{"t_start": 1642371885.697059, "env_id": null}
r,l,t
0.501947,12,8.312628
0.618871,12,8.345251
0.390755,12,8.362265
0.618218,12,8.383208
0.327942,12,8.400391
0.553574,12,8.42274
0.547399,12,8.439752
0.611989,12,8.461176
0.477325,12,8.478141
0.476823,12,8.497884
0.3492,12,8.531249
0.479644,12,8.555634
0.364412,12,8.586715
0.684505,12,8.60944
0.243835,12,8.635732
0.540473,12,8.666534
0.427947,12,8.691403
0.558104,12,8.714001
0.760196,12,8.738216
0.727069,12,8.757654
0.299492,12,8.789648
0.688654,12,8.809213
0.79854,12,8.836942
0.825158,12,8.86627
0.783563,12,8.884098
0.093018,12,8.901668
0.731795,12,8.920388
0.703266,12,8.942789
0.50767,12,8.962733
0.792216,12,8.984327
0.189569,12,9.00364
0.535826,12,9.022312
0.359441,12,9.040083
0.458339,12,9.059008
0.657973,12,9.07685
0.236254,12,9.094592
0.639033,12,9.112304
0.626372,12,9.130446
0.279167,12,9.151823
0.786621,12,9.174078
0.6836,12,9.193823
0.668558,12,9.210645
0.438985,12,9.228586
0.52436,12,9.248815
0.334068,12,9.268124
0.707479,12,9.284961
0.344856,12,9.305234
0.694555,12,9.323236
0.775888,12,9.341397
0.550225,12,9.357415
0.191201,12,9.379896
0.108384,12,9.404945
0.615444,12,9.432563
0.2593,12,9.465512
0.248534,12,9.488836
0.786617,12,9.530108
0.464011,12,9.55212
0.377391,12,9.571956
0.155365,12,9.612953
0.553328,12,9.6625
0.666616,12,9.706059
0.674854,12,9.749839
0.066474,12,9.796154
0.652212,12,9.835963
0.329555,12,9.883117
0.166422,12,9.926106
0.733161,12,9.968172
0.507851,12,10.024425
0.219114,12,10.073243
0.433605,12,10.131198
0.595941,12,10.175518
0.563789,12,10.237824
0.703816,12,10.294137
0.608221,12,10.328276
0.669939,12,10.355393
0.322692,12,10.392118
0.150546,12,10.456239
0.338632,12,11.464853
0.67709,12,11.483057
0.747321,12,11.50185
0.346846,12,11.520542
0.283463,12,11.538171
0.731747,12,11.555412
0.495784,12,11.575368
0.476846,12,11.590891
0.517201,12,11.611385
0.35742,12,11.629589
0.540903,12,11.648209
0.581202,12,11.665464
0.308751,12,11.696903
0.112137,12,11.721154
0.449168,12,11.743924
0.291783,12,11.763048
0.475849,12,11.780181
0.803636,12,11.798125
0.665602,12,11.814845
0.398816,12,11.843118
0.409881,12,11.866412
0.240554,12,11.90577
0.516123,12,11.941099
0.168335,12,11.965101
0.156848,12,11.987027
0.367685,12,12.00802
0.322115,12,12.02589
0.480658,12,12.046511
0.488456,12,12.066213
0.70918,12,12.087265
0.940144,12,12.107484
0.555419,12,12.129499
0.305779,12,12.151812
0.472607,12,12.173243
0.751551,12,12.197984
0.497526,12,12.217033
0.91967,12,12.234877
0.861275,12,12.254743
0.539508,12,12.275513
0.263749,12,12.301128
0.582562,12,12.326697
0.489818,12,12.349735
0.353862,12,12.377587
0.693928,12,12.398142
0.279276,12,12.416705
0.412972,12,12.43673
0.431658,12,12.464305
0.247583,12,12.480452
